OBJECTID,ADDRESS,CITY,COUNTY,OWNER,PHONE,SWING,AGENCY,CONTACT,LAST_UPDT,XY_SOURCE,XY_ISSUES,ATT_SOURCE,ATT_ISSUES,COMMENTS,FACILITYID,FACILITY,ZIP_CODE,OPERATOR,DEEMED,LIC_TYPE,ACUTE,ACUTE_REHAB,CRITICAL_ACCESS,CHEM_DEPEND,FSED,PSYCH_GENERAL,PSYCH_GERIATRIC,PSYCH_ADULT,PSYCH_ADOLESCENT,PSYCH_CHILD,TB,REHAB,LICENSE_EXP,DATECREATED,DATEMODIFIED
"11",1011 US-60 Business,Hardinsburg,Breckinridge,"Breckinridge Health, Inc",270-756-7000,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600070",Breckinridge Memorial Hospital,"40143",Angela Portman,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"12",100 Medical Center Dr,Princeton,Caldwell,"Caldwell County Hospital, Inc.",270-365-0300,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600072",Caldwell Medical Center,"42445",William Hartley,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"13",803 Poplar St,Murray,Calloway,Murray Calloway Co Public Hospital Corp,270-762-1100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100053",Murray Calloway County Hospital,"42071",Jerome Penner,Y,ACUTE,"128","0","0","0",N,"12","0","0","0","0","0","12",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"14",85 N Grand Ave,Fort Thomas,Campbell,"Saint Elizabeth Medical Center, Inc.",859-572-3100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100059",St. Elizabeth Ft. Thomas,"41075",John Mitchell,Y,ACUTE,"178","0","0","0",N,"0","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"15",111 Majave Terrace,Carrollton,Carroll,CCMH Corporation,502-732-4321,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600061",Carroll County Memorial Hospital,"41008",Kim Dees,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"16",187 Wolford Ave,Liberty,Casey,Casey Co. Hsp. District,606-787-6275,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600060",Casey County Hospital,"42539",Rex Tungate,Y,CAH,"0","0","24","0",N,"0","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"17",270 Walton Way,Hopkinsville,Christian,"ABS Lincs KY, Inc.",270-886-1919,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100597",Cumberland Hall,"42240",Matt Ours,Y,PSY,"0","0","0","0",N,"97","0","0","0","0","0","0",2020/04/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"18", 320 W 18th St,Hopkinsville,Christian,Jennie Stuart Medical Center Inc,270-887-0100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100068",Jennie Stuart Medical Center Inc,"42240",Eric Lee,Y,ACUTE,"182","0","0","0",N,"0","12","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"19",2400 Russellville Rd,Hopkinsville,Christian,Commonwealth of KY,270-889-6025,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100072",Western State Hospital,"42240",Roger Westfall,Y,PSY,"0","0","0","0",N,"495","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"20",175 Hospital Dr,Winchester,Clark,"Kentucky Hospital, LLC",859-737-8559,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100073",Clark Regional Medical Center,"40391",Aphreikah DuHaney-West,Y,ACUTE,"54","0","0","0",N,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"21",210 Marie Langdon,Manchester,Clay,Memorial Hospital Inc,606-598-5104,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100075",Advent Health Manchester,"40962",Chris Self,Y,ACUTE,"49","0","0","0",N,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"22",723 Burkesville Rd,Albany,Clinton,"The Medical Center at Clinton County, Inc. ",606-387-6421,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100078",The Medical Center at Albany,"42602",Eric Hagan,N,ACUTE,"42","0","0","0",N,"0","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"23",520 W Gum St,Marion,Crittenden,Crittenden Community Hospital LLC,270-965-5281,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100080",Crittenden Community Hospital,"42064",Don Buchanan,Y,ACUTE,"48","0","0","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"24",299 Glasgow Rd,Burkesville,Cumberland,"Cumberland County Hospital Association, Inc.",270-864-2511,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600068",Cumberland County Hospital,"42717",Terry Nichols  ,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/09/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"25",1201 Pleasant Valley Rd,Owensboro,‎Daviess,"Owensboro Health, Inc.",270-417-2000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100092",Owensboro Health Regional Hospital,"42303",Greg Strahan,Y,ACUTE,"415","0","0","0",N,"12","0","0","0","0","0","20",2020/09/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"26",1100 Walnut St # 46,Owensboro,Daviess,Green River Regional Mh Mr Board Inc,270-689-6800,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100586",River Valley Behavioral Health,"42301",Dave Gerkin,N,PSY,"0","0","0","0",N,"80","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"27",60 Mercy Ct,Irvine,Estill,"Mercy Health - Marcum & Wallace Hospital, LLC",606-723-2115,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600052",Marcum And Wallace Memorial Hospital,"40336",Susan Starling,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"28",1740 Nicholasville Rd,Lexington,Fayette,Baptist Healthcare System Inc,859-260-6104,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100101",Baptist Health Lexington,"40503",William G. Sisson,Y,ACUTE,"391","0","0","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"29",2050 Versailles Rd,Lexington,Fayette,"Healthsouth Cardinal Hill Rehabilitation Hospital, Inc.",859-254-5701,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100100",Cardinal Hill Rehabilitation Hospital,"40504",Tara Diebling,N,REHAB,"0","0","0","0",N,"0","0","0","0","0","0","158",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"30",1350 Bull Lea Rd,Lexington,Fayette,Commonwealth Of Kentucky,859-246-8000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100102",Eastern State Hospital,"40511",Carrie Rudzik,Y,PSY,"0","0","0","0",N,"195","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"31",1 St Joseph Dr,Lexington,Fayette,"Saint Joseph Health System, Inc.",859-313-1000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100117",Saint Joseph Hospital,"40504",Bruce Tassin,Y,ACUTE,"433","0","0","0",Y,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"32",150 N Eagle Creek Dr,Lexington,Fayette,"Saint Joseph Health System, Inc.",859-967-5000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100538",Saint Joseph East,"40509",Eric Gilliam,Y,ACUTE,"217","0","0","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"33",3050 Rio Dosa Dr,Lexington,Fayette,"Uhs Of Ridge, Inc",859-269-2325,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100534",The Ridge Behavioral Health System,"40509",Nina Eisner,Y,PSY,"0","0","0","20",N,"90","0","0","0","0","0","0",2020/04/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"34",800 Rose Street Pavilion H,Lexington,Fayette,Commonwealth Of Ky,859-323-5211,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100121",University of KY Hospital,"40508",Colleen Swartz,Y,ACUTE,"724","0","0","0",N,"0","0","0","0","0","0","0",2020/05/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"35",310 S Limestone,Lexington,Fayette,"University of Kentucky, an agency of the Commonwealth of KY",859-323-5211,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100104",UK HealthCare Good Samaritan Hospital,"40508",Colleen Swartz,Y,ACUTE,"190","0","0","0",N,"31","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"36",55 Foundation Dr,Flemingsburg,Fleming,"Fleming Medical Center, LLC",606-849-2351,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100123",Fleming County Hospital,"41041",Brian  Springate,Y,CAH,"25","0","0","0",N,"0","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"37",5000 KY-321,Prestonsburg,Floyd,Highlands Hospital Corporation,606-886-8511,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100124",Highlands Regional Medical Center,"41653",Harold Warman,Y,ACUTE,"151","0","0","0",N,"0","11","12","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"38",9879 KY-122,McDowell,Floyd,Appalachian Regional Healthcare Inc,606-377-3400,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600082",McDowell ARH Hospital,"41647",Russ Barker,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"39",11203 Main St,Martin,Floyd,"ARH Mary Breckinridge Health Services, Inc. ",606-285-6401,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600056",ARH Our Lady of the Way,"41649",Kathy Stumbo,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/05/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"40",299 Kings Daughters Dr,Frankfort,Franklin,Frankfort Hospital Inc,502-875-5240,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100130",Frankfort Regional Medical Center,"40601",Chip Peal,Y,ACUTE,"161","0","0","0",N,"0","12","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"41",238 Barnes Rd,Williamstown,Grant,St Elizabeth Medical Center Inc,859-824-8240,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600062",St. Elizabeth Grant,"41097",Bruno Giacomuzzi,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"42",1099 Medical Center Circle  1000 Med Ctr Cir,Mayfield,Graves,"Pinelake Regional Hospital, Llc",270-251-4585,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100143",Jackson Purchase Medical Center,"42066",Dave Anderson,Y,ACUTE,"95","0","0","0",N,"12","0","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"43",202-206 Milby St,Greensburg,Green,"Jane Todd Crawford Memorial Hospital, Inc.",270-932-4211,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600077",Jane Todd Crawford Memorial Hospital,"42743",Rusty Tungate,N,CAH,"0","0","25","0",N,"10","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"44",913 N. Dixie Hwy,Elizabethtown,Hardin,"Hardin County, Kentucky",270-737-1212,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100160",Hardin Memorial Hospital,"42701",Rhonda Joyce,Y,ACUTE,"270","0","0","0",N,"0","0","15","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"45",134 Heartland Dr,Elizabethtown,Hardin,"Encompass Health Rehabilitation Hospital of Lakeview, LLC",270-769-3100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100601",Encompass Health Rehabilitation Hospital of Lakeview,"42701",Lori Jarboe,Y,REHAB,"0","0","0","0",N,"0","0","0","0","0","0","40",2020/05/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"46",3909 S. Wilson Road,Radcliff,Hardin,United Health Care Of Hardin Inc,270-351-9444,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100574",Lincoln Trail Behavioral Health System,"40160",Charles Webb,Y,PSY,"0","0","0","29",N,"111","0","0","0","0","0","0",2020/04/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"47",81 Ball Park Rd,Harlan,Harlan,Appalachian Regional Healthcare Inc,606-573-8100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100163",Harlan ARH Hospital,"40831",Donald Fields,Y,ACUTE,"120","0","0","0",N,"30","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"48",1210 KY-36,Cynthiana,Harrison,Harrison Memorial Hospital Inc,859-234-2300,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100167",Harrison Memorial Hospital,"41031",Sheila Currans,Y,ACUTE,"61","0","0","0",N,"0","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"49",1501 S Dixie St,Horse Cave,Hart,Bowling Green-Warren County Community Hospital Corporation,270-786-2191,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600065",The Medical Center at Caverna,"42749",Alan Alexander,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
